,Company,PriceRs.,Day HighRs.
0,"
BSE
",3932.35,4200.00
1,"
Kalyan Jewell.India
",768.65,786.25
2,"
Amber Enterprises
",4994.65,5187.95
3,"
Zomato
",297.00,298.25
4,"
SBFC Finance
",105.62,105.81
5,"
Mahindra & Mahindra
",3049.80,3056.90
6,"
HFCL
",161.41,171.00
7,"
Bajaj Auto
",12338.95,12380.00
8,"
Bharti Airtel
",1750.45,1754.25
9,"
Reliance Infra
",329.53,335.30
10,"
Kotak Mahindra Bank
",1934.70,1942.00
11,"
Hero MotoCorp
",6190.55,6210.00
12,"
SamvardhanaMotherson
",207.34,210.60
13,"
ITD Cementation
",565.95,615.00
14,"
Aditya Birla Fashion
",344.50,351.45
